Nom de la région;Code département;Nom de la commune;Population totale
Agde;34;Occitanie;28120
Agen;47;Nouvelle-Aquitaine;34565
Aix-en-Provence;13;Provence-Alpes-Côte d'Azur;146385
Aix-les-Bains;73;Auvergne-Rhône-Alpes;30377
Ajaccio;2A;Corse;70063
Albi;81;Occitanie;51151
Alençon;61;Normandie;27221
Alfortville;94;Île-de-France;44136
Alès;30;Occitanie;41129
Amiens;80;Hauts-de-France;136998
Angers;49;Pays de la Loire;155543
Anglet;64;Nouvelle-Aquitaine;39995
Angoulême;16;Nouvelle-Aquitaine;44629
Annecy;74;Auvergne-Rhône-Alpes;130257
Annemasse;74;Auvergne-Rhône-Alpes;35461
Antibes;06;Provence-Alpes-Côte d'Azur;74982
Antony;92;Île-de-France;62989
Argenteuil;95;Île-de-France;112064
Arles;13;Provence-Alpes-Côte d'Azur;53807
Armentières;59;Hauts-de-France;25373
Arras;62;Hauts-de-France;41973
Asnières-sur-Seine;92;Île-de-France;86678
Athis-Mons;91;Île-de-France;34065
Aubagne;13;Provence-Alpes-Côte d'Azur;45711
Aubervilliers;93;Île-de-France;86533
Aulnay-sous-Bois;93;Île-de-France;85214
Aurillac;15;Auvergne-Rhône-Alpes;27659
Auxerre;89;Bourgogne-Franche-Comté;36804
Avignon;84;Provence-Alpes-Côte d'Azur;94200
Bagneux;92;Île-de-France;39977
Bagnolet;93;Île-de-France;36047
Baie-Mahault;971;Guadeloupe;31338
Bastia;2B;Corse;45596
Bayonne;64;Nouvelle-Aquitaine;51943
Beauvais;60;Hauts-de-France;57548
Belfort;90;Bourgogne-Franche-Comté;49926
Bergerac;24;Nouvelle-Aquitaine;28166
Besançon;25;Bourgogne-Franche-Comté;120107
Bezons;95;Île-de-France;29216
Biarritz;64;Nouvelle-Aquitaine;25518
Blois;41;Centre-Val de Loire;47524
Bobigny;93;Île-de-France;52633
Bois-Colombes;92;Île-de-France;28607
Bondy;93;Île-de-France;53416
Bordeaux;33;Nouvelle-Aquitaine;256045
Boulogne-Billancourt;92;Île-de-France;120943
Boulogne-sur-Mer;62;Hauts-de-France;42293
Bourg-en-Bresse;01;Auvergne-Rhône-Alpes;43454
Bourges;18;Centre-Val de Loire;67841
Bourgoin-Jallieu;38;Auvergne-Rhône-Alpes;28399
Brest;29;Bretagne;142629
Brive-la-Gaillarde;19;Nouvelle-Aquitaine;48333
Bron;69;Auvergne-Rhône-Alpes;41589
Brunoy;91;Île-de-France;26520
Brétigny-sur-Orge;91;Île-de-France;26702
Bussy-Saint-Georges;77;Île-de-France;27299
Bègles;33;Nouvelle-Aquitaine;28092
Béthune;62;Hauts-de-France;25753
Béziers;34;Occitanie;77894
Cachan;94;Île-de-France;30524
Caen;14;Normandie;108461
Cagnes-sur-Mer;06;Provence-Alpes-Côte d'Azur;50385
Calais;62;Hauts-de-France;75719
Caluire-et-Cuire;69;Auvergne-Rhône-Alpes;43546
Cambrai;59;Hauts-de-France;33349
Cannes;06;Provence-Alpes-Côte d'Azur;75046
Carcassonne;11;Occitanie;47418
Carpentras;84;Provence-Alpes-Côte d'Azur;29498
Castres;81;Occitanie;42923
Cavaillon;84;Provence-Alpes-Côte d'Azur;26985
Cayenne;973;Guyane;60947
Cergy;95;Île-de-France;64451
Chalon-sur-Saône;71;Bourgogne-Franche-Comté;47085
Chambéry;73;Auvergne-Rhône-Alpes;60872
Champigny-sur-Marne;94;Île-de-France;77883
Charenton-le-Pont;94;Île-de-France;30793
Charleville-Mézières;08;Grand Est;48420
Chartres;28;Centre-Val de Loire;40195
Chatou;78;Île-de-France;31653
Chelles;77;Île-de-France;54682
Cherbourg-en-Cotentin;50;Normandie;82578
Choisy-le-Roi;94;Île-de-France;44781
Cholet;49;Pays de la Loire;55772
Châlons-en-Champagne;51;Grand Est;46288
Châteauroux;36;Centre-Val de Loire;45780
Châtellerault;86;Nouvelle-Aquitaine;32887
Châtenay-Malabry;92;Île-de-France;33413
Châtillon;92;Île-de-France;37132
Clamart;92;Île-de-France;53099
Clermont-Ferrand;63;Auvergne-Rhône-Alpes;146112
Clichy;92;Île-de-France;60746
Clichy-sous-Bois;93;Île-de-France;29978
